State,Year,Water_Production,Avg_Rainfall_mm
Johor,2014,1568,1.9600353870071683
Johor,2015,1619,1.1921440882872505
Johor,2016,1737,1.2806540289457422
Johor,2017,1680,1.5323623395353303
Johor,2018,1757,1.5924654947708652
Johor,2019,1888,1.5184295620519714
Johor,2020,1831,2.1671160555153874
Kedah,2014,1299,2.1932907588645674
Kedah,2015,1315,2.072904308813364
Kedah,2016,1361,1.337841612075145
Kedah,2017,1370,1.1983630393177163
Kedah,2018,1446,2.450118953161802
Kedah,2019,1474,1.2954904332245263
Kedah,2020,1487,2.486544650760104
Kelantan,2014,445,4.85509137546723
Kelantan,2015,454,3.2302030481630823
Kelantan,2016,471,4.4564426786305775
Kelantan,2017,475,4.374572345385304
Kelantan,2018,491,3.9621890951164875
Kelantan,2019,503,4.697866682008448
Kelantan,2020,507,4.396434411824868
Melaka,2014,532,1.7348772272529442
Melaka,2015,519,1.0488245718830005
Melaka,2016,510,1.0138236310004944
Melaka,2017,513,1.082559802547363
Melaka,2018,528,1.528049957296467
Melaka,2019,538,1.1759199287442397
Melaka,2020,578,2.4517058591243357
Pahang,2014,1108,3.1982696993471578
Pahang,2015,1129,1.9959288658794163
Pahang,2016,1111,2.2900222488969226
Pahang,2017,1109,2.394528442121096
Pahang,2018,1158,2.424494271281362
Pahang,2019,1194,2.4383139691820275
Pahang,2020,1269,3.232270548798047
Penang,2014,995,2.0541333307731695
Penang,2015,1014,1.5014873305491552
Penang,2016,1054,0.6828333078451365
Penang,2017,1058,1.024387885995904
Penang,2018,1073,1.5770710058819766
Penang,2019,1093,0.8583699040130569
Penang,2020,1108,2.5042024735415898
Perak,2014,1224,3.239756771044547
Perak,2015,1289,3.199827109485407
Perak,2016,1317,2.2027761896984304
Perak,2017,1314,2.6285066358678955
Perak,2018,1333,2.6746167722990273
Perak,2019,1357,2.4769412680363545
Perak,2020,1392,3.4425958862470645
Perlis,2014,208,1.5804218074756786
Perlis,2015,220,1.0986061460445469
Perlis,2016,243,0.8179763605796563
Perlis,2017,228,0.5164345797171019
Perlis,2018,234,1.4085863558691756
Perlis,2019,252,0.7570381033794162
Perlis,2020,243,1.4447176456031394
Selangor,2014,4594,1.7710603622951868
Selangor,2015,4675,1.858398103104199
Selangor,2016,4807,1.141478657251885
Selangor,2017,4842,1.8036755704493086
Selangor,2018,4856,1.5032534512608808
Selangor,2019,4932,1.6263087985279059
Selangor,2020,4967,2.0706213891268077
Terengganu,2014,598,5.459906013677675
Terengganu,2015,603,2.8033604665898615
Terengganu,2016,640,4.518184159736126
Terengganu,2017,641,4.781877264912954
Terengganu,2018,627,4.008447944578854
Terengganu,2019,632,4.655670815508192
Terengganu,2020,657,5.0404005129526634
