State,Year,Avg_Rainfall_mm
Johor,2014,1.96
Johor,2015,1.193
Johor,2016,1.282
Johor,2017,1.527
Johor,2018,1.596
Johor,2019,1.519
Johor,2020,2.177
Kedah,2014,2.209
Kedah,2015,2.08
Kedah,2016,1.335
Kedah,2017,1.191
Kedah,2018,2.452
Kedah,2019,1.291
Kedah,2020,2.492
Kelantan,2014,4.896
Kelantan,2015,3.253
Kelantan,2016,4.474
Kelantan,2017,4.377
Kelantan,2018,3.98
Kelantan,2019,4.709
Kelantan,2020,4.407
Melaka,2014,1.736
Melaka,2015,1.054
Melaka,2016,1.015
Melaka,2017,1.08
Melaka,2018,1.539
Melaka,2019,1.176
Melaka,2020,2.46
Negeri Sembilan,2014,1.915
Negeri Sembilan,2015,1.513
Negeri Sembilan,2016,1.225
Negeri Sembilan,2017,1.503
Negeri Sembilan,2018,1.609
Negeri Sembilan,2019,1.363
Negeri Sembilan,2020,2.231
Pahang,2014,3.223
Pahang,2015,2.004
Pahang,2016,2.297
Pahang,2017,2.39
Pahang,2018,2.434
Pahang,2019,2.442
Pahang,2020,3.244
Penang,2014,2.063
Penang,2015,1.493
Penang,2016,0.684
Penang,2017,1.013
Penang,2018,1.576
Penang,2019,0.85
Penang,2020,2.527
Perak,2014,3.258
Perak,2015,3.209
Perak,2016,2.206
Perak,2017,2.627
Perak,2018,2.682
Perak,2019,2.476
Perak,2020,3.452
Perlis,2014,1.596
Perlis,2015,1.108
Perlis,2016,0.815
Perlis,2017,0.507
Perlis,2018,1.408
Perlis,2019,0.758
Perlis,2020,1.439
Selangor,2014,1.776
Selangor,2015,1.873
Selangor,2016,1.141
Selangor,2017,1.803
Selangor,2018,1.505
Selangor,2019,1.618
Selangor,2020,2.072
Selangor-Wilayah,2014,1.776
Selangor-Wilayah,2015,1.873
Selangor-Wilayah,2016,1.139
Selangor-Wilayah,2017,1.803
Selangor-Wilayah,2018,1.504
Selangor-Wilayah,2019,1.618
Selangor-Wilayah,2020,2.071
Terengganu,2014,5.518
Terengganu,2015,2.822
Terengganu,2016,4.541
Terengganu,2017,4.774
Terengganu,2018,4.031
Terengganu,2019,4.675
Terengganu,2020,5.046
